senseid, definition
FACE_00, The front of the head from the forehead to the chin and ear to ear; 'he washed his face'; 'I wish I had seen the look on his face when he got the news'
SIDE_00, A surface forming part of the outside of an object; 'he examined all sides of the crystal'; 'dew dripped from the face of the leaf'
