Dataset,TP,TN,FP,FN,Precision,Recall,F1
1,15,8,1,2,0.937,0.882,0.909
2,12,10,2,2,0.857,0.857,0.857
3,13,10,2,1,0.866,0.928,0.896
4,15,8,2,1,0.882,0.937,0.909
5,14,13,1,1,0.933,0.933,0.933
Average,13.8,9.8,1.6,1.4,0.895,0.907,0.901
