Dataset,TP,TN,FP,FN,Precision,Recall,F1
1,13,12,1,0,0.928,1,0.962
2,13,12,1,0,0.928,1,0.962
3,12,11,3,0,0.8,1,0.888
4,17,7,1,1,0.944,0.944,0.944
5,17,8,2,2,0.894,0.894,0.894
Average,14.4,10,1.6,0.6,0.899,0.968,0.930
