Dataset,TP,TN,FP,FN,Precision,Recall,F1
1,12,13,0,1,1,0.923,0.96
2,12,13,0,1,1,0.923,0.96
3,11,12,0,3,1,0.785,0.88
4,7,17,1,1,0.875,0.875,0.875
5,8,17,2,2,0.8,0.8,0.8
Average,10,14.4,0.6,1.6,0.935,0.861,0.895
