Dataset,TP,TN,FP,FN,Precision,Recall,F1
1,10,12,2,2,0.833,0.833,0.833
2,16,7,2,1,0.888,0.941,0.914
3,15,7,1,3,0.937,0.833,0.882
4,13,10,2,1,0.866,0.928,0.896
5,14,13,1,1,0.933,0.933,0.33
Average ,13.6,9.8,1.6,1.6,0.891,0.894,0.771
