Dataset,TP,TN,FP,FN,Precision,Recall,F1
1,12,10,2,2,0.857,0.857,0.857
2,7,16,1,2,0.875,0.777,0.823
3,7,15,3,1,0.7,0.875,0.777
4,10,13,1,2,0.909,0.833,0.869
5,13,14,1,1,0.928,0.928,0.928
Average,9.8,13.6,1.6,1.6,0.854,0.854,0.851
